id,query
1,Suggest a quick vegan breakfast recipe
2,I have chicken, rice, and some leftover broccoli — what’s a healthy dinner I can make?
3,Give me a dessert recipe with chocolate
4,Suggest an Italian pasta dish that can be made in under 20 minutes
5,Show me a spicy Thai curry recipe
6,Give me a gluten-free breakfast idea that kids would enjoy
7,I only have eggs and bread. What can I make?
8,Quick lunch for work
9,Suggest an easy dinner for two that feels special but doesn’t take too long
10,Healthy snack for kids
11,Can you recommend a recipe under 30 minutes that’s also vegetarian?
12,Suggest a beginner-friendly baking recipe
13,What’s a good comfort food for cold weather that I can make in one pot?
14,I want a fancy dinner party recipe
15,Show me a low-carb lunch option
16,Give me a dairy-free dessert that tastes indulgent
17,Suggest a Mediterranean appetizer I could bring to a potluck
18,What can I cook with potatoes and cheese?
19,I need a high-protein vegetarian dinner that I can meal prep for the week
20,Can you suggest a recipe using canned tuna that doesn’t taste boring?
21,Make me something with apples that isn’t pie or crumble
22,Quick soup recipe
23,I want something spicy but simple that I can make after work on a busy night
24,Suggest a picnic-friendly dish
25,What’s a traditional Indian breakfast I can make with ingredients available in the US?
26,Give me a one-pot dinner idea
27,I have leftover turkey from Thanksgiving — what creative dish can I turn it into?
28,Suggest a romantic dinner recipe for two that doesn’t require fancy ingredients
29,Show me a recipe that kids can help cook
30,What’s a healthy smoothie recipe that includes leafy greens but still tastes sweet?
